pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,3,35,182,57622,ENSG00000149968;ENSG00000169429;ENSG00000196611,0.0001882969645732107,0.0005359221299391381,C2_CanonicalPathways
REACTOME_COLLAGEN_FORMATION,4,90,182,57622,ENSG00000060718;ENSG00000123500;ENSG00000137673;ENSG00000149968,0.0001990331397945897,0.0005603215565956384,C2_CanonicalPathways
KEGG_MEDICUS_REFERENCE_CREATINE_PATHWAY,2,7,182,57622,ENSG00000131730;ENSG00000166165,0.00020619367529671467,0.0005742383000198828,C2_CanonicalPathways
WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,3,39,182,57622,ENSG00000134193;ENSG00000163735;ENSG00000169429,0.00026049509074553654,0.0007177471117350421,C2_CanonicalPathways
REACTOME_INORGANIC_ANION_EXCHANGE_BY_SLC26_TRANSPORTERS,2,8,182,57622,ENSG00000091138;ENSG00000155850,0.00027435304929946037,0.0007401816642558358,C2_CanonicalPathways
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,14,1476,182,57622,ENSG00000007306;ENSG00000102854;ENSG00000117983;ENSG00000118785;ENSG00000145113;ENSG00000156966;ENSG00000167080;ENSG00000169876;ENSG00000184956;ENSG00000185269;ENSG00000198488;ENSG00000205277;ENSG00000215182;ENSG00000259823,0.0002742125462854777,0.0007401816642558358,C2_CanonicalPathways
WP_VITAMIN_D_RECEPTOR_PATHWAY,5,183,182,57622,ENSG00000107159;ENSG00000118785;ENSG00000165376;ENSG00000167755;ENSG00000170373,0.0003058387987104927,0.0008166211223300786,C2_CanonicalPathways
KEGG_FATTY_ACID_METABOLISM,3,42,182,57622,ENSG00000164398;ENSG00000196616;ENSG00000248144,0.00032495236042747914,0.000858802666844052,C2_CanonicalPathways
WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION,3,46,182,57622,ENSG00000137673;ENSG00000149968;ENSG00000196611,0.00042571690804175147,0.0011026067918281364,C2_CanonicalPathways
REACTOME_DEFENSINS,3,46,182,57622,ENSG00000164816;ENSG00000164822;ENSG00000275896,0.00042571690804175147,0.0011026067918281364,C2_CanonicalPathways
WP_WNT_SIGNALING,4,113,182,57622,ENSG00000106483;ENSG00000140807;ENSG00000145423;ENSG00000185269,0.0004740303625188055,0.0012155828108155508,C2_CanonicalPathways
PID_AJDISS_2PATHWAY,3,48,182,57622,ENSG00000137673;ENSG00000149968;ENSG00000167244,0.00048281566254654334,0.0012259731039172032,C2_CanonicalPathways
WP_GASTRIN_SIGNALING,4,114,182,57622,ENSG00000066230;ENSG00000100604;ENSG00000137673;ENSG00000169429,0.0004900658849758789,0.0012323015942597342,C2_CanonicalPathways
REACTOME_CREATINE_METABOLISM,2,11,182,57622,ENSG00000131730;ENSG00000166165,0.0005355536047909646,0.001333734458085191,C2_CanonicalPathways
WP_PPAR_SIGNALING,3,50,182,57622,ENSG00000134240;ENSG00000163586;ENSG00000196611,0.000544601561812282,0.0013433505191369623,C2_CanonicalPathways
REACTOME_ETHANOL_OXIDATION,2,12,182,57622,ENSG00000196616;ENSG00000248144,0.0006413288982037446,0.0015670206097619798,C2_CanonicalPathways
REACTOME_ESR_MEDIATED_SIGNALING,5,218,182,57622,ENSG00000124882;ENSG00000137673;ENSG00000149968;ENSG00000160182;ENSG00000168243,0.0006774900563735412,0.0016399058373901606,C2_CanonicalPathways
REACTOME_SIGNALING_BY_INTERLEUKINS,7,459,182,57622,ENSG00000133742;ENSG00000148346;ENSG00000149968;ENSG00000169429;ENSG00000196611;ENSG00000211892;ENSG00000211896,0.0006875398021279828,0.0016488223032513662,C2_CanonicalPathways
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,4,128,182,57622,ENSG00000108244;ENSG00000124102;ENSG00000134762;ENSG00000171431,0.0007570791625968266,0.001798931221216313,C2_CanonicalPathways
REACTOME_THYROXINE_BIOSYNTHESIS,2,14,182,57622,ENSG00000140274;ENSG00000140279,0.0008805868117530954,0.0020733816749459247,C2_CanonicalPathways
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,3,61,182,57622,ENSG00000136872;ENSG00000196616;ENSG00000248144,0.0009748651015008152,0.0022746852368352357,C2_CanonicalPathways
WP_FATTY_ACID_OMEGAOXIDATION,2,15,182,57622,ENSG00000196616;ENSG00000248144,0.0010139519567593732,0.0023447639000060503,C2_CanonicalPathways
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,5,241,182,57622,ENSG00000066230;ENSG00000080493;ENSG00000091138;ENSG00000155850;ENSG00000177984,0.0010602110460345246,0.00243004124710568,C2_CanonicalPathways
WP_RETINOL_METABOLISM,2,17,182,57622,ENSG00000073067;ENSG00000073737,0.0013078629987292834,0.002971372953253372,C2_CanonicalPathways
WP_FATTY_ACID_TRANSPORTERS,2,18,182,57622,ENSG00000163586;ENSG00000164398,0.0014682930664468648,0.003306851340954243,C2_CanonicalPathways
PID_AVB3_INTEGRIN_PATHWAY,3,74,182,57622,ENSG00000060718;ENSG00000118785;ENSG00000123500,0.0017039259171987213,0.0038044552806419728,C2_CanonicalPathways
WP_IL18_SIGNALING,5,272,182,57622,ENSG00000118785;ENSG00000149968;ENSG00000169429;ENSG00000175084;ENSG00000196611,0.001804161996598608,0.0039938286933251235,C2_CanonicalPathways
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,3,80,182,57622,ENSG00000060718;ENSG00000123500;ENSG00000163017,0.002129912740276487,0.004674977963827205,C2_CanonicalPathways
REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES,2,22,182,57622,ENSG00000140274;ENSG00000140279,0.002198504966582657,0.004745106552874234,C2_CanonicalPathways
REACTOME_RA_BIOSYNTHESIS_PATHWAY,2,22,182,57622,ENSG00000073737;ENSG00000248144,0.002198504966582657,0.004745106552874234,C2_CanonicalPathways
KEGG_ECM_RECEPTOR_INTERACTION,3,83,182,57622,ENSG00000060718;ENSG00000105664;ENSG00000118785,0.002365496875774842,0.005063336287815571,C2_CanonicalPathways
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,2,23,182,57622,ENSG00000135220;ENSG00000197888,0.002402896680905704,0.005101231478316208,C2_CanonicalPathways
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,3,84,182,57622,ENSG00000105664;ENSG00000118785;ENSG00000123500,0.0024474587253314156,0.005112030724684167,C2_CanonicalPathways
PID_CMYB_PATHWAY,3,84,182,57622,ENSG00000090382;ENSG00000133742;ENSG00000166825,0.0024474587253314156,0.005112030724684167,C2_CanonicalPathways
KEGG_TGF_BETA_SIGNALING_PATHWAY,3,85,182,57622,ENSG00000101144;ENSG00000105664;ENSG00000243709,0.002531158443017899,0.005244560293933088,C2_CanonicalPathways
WP_GLUCURONIDATION,2,24,182,57622,ENSG00000135220;ENSG00000197888,0.002615911159083549,0.005334810946477474,C2_CanonicalPathways
BIOCARTA_TFF_PATHWAY,2,24,182,57622,ENSG00000160182;ENSG00000198788,0.002615911159083549,0.005334810946477474,C2_CanonicalPathways
REACTOME_GLUCURONIDATION,2,25,182,57622,ENSG00000135220;ENSG00000197888,0.0028374924997644417,0.005741488729992112,C2_CanonicalPathways
KEGG_CHEMOKINE_SIGNALING_PATHWAY,4,186,182,57622,ENSG00000145824;ENSG00000163735;ENSG00000168243;ENSG00000169429,0.002974137894718078,0.00597133112195335,C2_CanonicalPathways
