pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
GOBP_MITOTIC_CELL_CYCLE_PROCESS,3,796,149,57622,ENSG00000071539;ENSG00000109132;ENSG00000168309,0.33922364682702955,0.35664323950193105,GO_BP
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,2,470,149,57622,ENSG00000103888;ENSG00000197561,0.3433217073165764,0.3604646265752988,GO_BP
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,2,471,149,57622,ENSG00000092009;ENSG00000197561,0.3442591551205325,0.36096175563850985,GO_BP
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,4,1157,149,57622,ENSG00000133800;ENSG00000165197;ENSG00000197561;ENSG00000204936,0.3508941691662737,0.36742350418756514,GO_BP
GOBP_MYELOID_CELL_DIFFERENTIATION,2,485,149,57622,ENSG00000104332;ENSG00000269404,0.3573373132842442,0.37366724426766396,GO_BP
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,2,486,149,57622,ENSG00000116748;ENSG00000197165,0.3582680168586996,0.37413760686720576,GO_BP
GOBP_REGULATION_OF_RESPONSE_TO_STRESS,5,1526,149,57622,ENSG00000092009;ENSG00000129474;ENSG00000157193;ENSG00000163347;ENSG00000197561,0.36043114283756056,0.3758919961496275,GO_BP
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,4,1186,149,57622,ENSG00000092009;ENSG00000157193;ENSG00000165197;ENSG00000197561,0.3678877681124855,0.38315486424566764,GO_BP
GOBP_REGULATION_OF_CELL_CELL_ADHESION,2,523,149,57622,ENSG00000111846;ENSG00000197561,0.3923363980297341,0.4080718150630122,GO_BP
GOBP_ORGANELLE_FISSION,2,528,149,57622,ENSG00000071539;ENSG00000120498,0.39688031506365545,0.4122468426161868,GO_BP
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION,2,534,149,57622,ENSG00000104332;ENSG00000240505,0.4023125582968625,0.4173322271399454,GO_BP
GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,3,896,149,57622,ENSG00000101255;ENSG00000119147;ENSG00000171617,0.40919461726451495,0.42390600829799285,GO_BP
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,2,551,149,57622,ENSG00000157193;ENSG00000274736,0.41757766928152645,0.4320151950811537,GO_BP
